[2022-12-11 16:56:15] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-11 16:56:15] [INFO   ] configuration file was loaded from resources directory.
[2022-12-11 16:56:26] [SEVERE ] player 2 placing token on slot 6
[2022-12-11 16:56:26] [SEVERE ] player 3 placing token on slot 5
[2022-12-11 16:56:26] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:26] [SEVERE ] removing player 2 token from slot 6
[2022-12-11 16:56:26] [SEVERE ] removing player 2 token from slot 10
[2022-12-11 16:56:26] [SEVERE ] removing player 3 token from slot 1
[2022-12-11 16:56:26] [SEVERE ] player 2 placing token on slot 4
[2022-12-11 16:56:26] [SEVERE ] player 3 placing token on slot 4
[2022-12-11 16:56:26] [SEVERE ] player 2 placing token on slot 3
[2022-12-11 16:56:26] [SEVERE ] player 3 placing token on slot 7
[2022-12-11 16:56:26] [SEVERE ] removing player 3 token from slot 4
[2022-12-11 16:56:26] [SEVERE ] removing player 2 token from slot 4
[2022-12-11 16:56:26] [SEVERE ] removing player 3 token from slot 5
[2022-12-11 16:56:26] [SEVERE ] removing player 2 token from slot 8
[2022-12-11 16:56:26] [SEVERE ] player 2 placing token on slot 1
[2022-12-11 16:56:26] [SEVERE ] removing player 3 token from slot 7
[2022-12-11 16:56:26] [SEVERE ] player 3 placing token on slot 5
[2022-12-11 16:56:26] [SEVERE ] player 2 placing token on slot 10
[2022-12-11 16:56:26] [SEVERE ] removing player 2 token from slot 3
[2022-12-11 16:56:26] [SEVERE ] removing player 3 token from slot 5
[2022-12-11 16:56:27] [SEVERE ] player 2 placing token on slot 5
[2022-12-11 16:56:27] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:27] [SEVERE ] player 3 placing token on slot 6
[2022-12-11 16:56:27] [SEVERE ] removing player 2 token from slot 1
[2022-12-11 16:56:27] [SEVERE ] player 3 placing token on slot 7
[2022-12-11 16:56:27] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:27] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:27] [SEVERE ] removing player 3 token from slot 7
[2022-12-11 16:56:27] [SEVERE ] removing player 2 token from slot 5
[2022-12-11 16:56:27] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:27] [SEVERE ] player 2 placing token on slot 1
[2022-12-11 16:56:27] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:27] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:27] [SEVERE ] player 3 placing token on slot 5
[2022-12-11 16:56:27] [SEVERE ] removing player 2 token from slot 1
[2022-12-11 16:56:27] [SEVERE ] removing player 3 token from slot 5
[2022-12-11 16:56:27] [SEVERE ] player 2 placing token on slot 8
[2022-12-11 16:56:27] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:28] [SEVERE ] removing player 2 token from slot 10
[2022-12-11 16:56:28] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:28] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:28] [SEVERE ] player 2 placing token on slot 5
[2022-12-11 16:56:28] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:28] [SEVERE ] removing player 2 token from slot 5
[2022-12-11 16:56:28] [SEVERE ] player 3 placing token on slot 5
[2022-12-11 16:56:28] [SEVERE ] player 2 placing token on slot 5
[2022-12-11 16:56:28] [SEVERE ] removing player 3 token from slot 5
[2022-12-11 16:56:28] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:28] [SEVERE ] player 2 placing token on slot 10
[2022-12-11 16:56:28] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:28] [SEVERE ] removing player 3 token from slot 6
[2022-12-11 16:56:28] [SEVERE ] removing player 2 token from slot 8
[2022-12-11 16:56:28] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:28] [SEVERE ] removing player 2 token from slot 10
[2022-12-11 16:56:28] [SEVERE ] player 3 placing token on slot 11
[2022-12-11 16:56:28] [SEVERE ] player 2 placing token on slot 2
[2022-12-11 16:56:29] [SEVERE ] player 3 placing token on slot 0
[2022-12-11 16:56:29] [SEVERE ] removing player 2 token from slot 2
[2022-12-11 16:56:29] [SEVERE ] player 2 placing token on slot 11
[2022-12-11 16:56:29] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:29] [SEVERE ] player 2 placing token on slot 2
[2022-12-11 16:56:29] [SEVERE ] removing player 3 token from slot 0
[2022-12-11 16:56:29] [SEVERE ] player 3 placing token on slot 7
[2022-12-11 16:56:29] [SEVERE ] removing player 2 token from slot 11
[2022-12-11 16:56:29] [SEVERE ] player 3 placing token on slot 9
[2022-12-11 16:56:29] [SEVERE ] removing player 2 token from slot 5
[2022-12-11 16:56:29] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:29] [SEVERE ] removing player 3 token from slot 7
[2022-12-11 16:56:29] [SEVERE ] player 2 placing token on slot 8
[2022-12-11 16:56:29] [SEVERE ] removing player 3 token from slot 11
[2022-12-11 16:56:29] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:29] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:29] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:29] [SEVERE ] removing player 3 token from slot 9
[2022-12-11 16:56:30] [SEVERE ] player 3 placing token on slot 4
[2022-12-11 16:56:30] [SEVERE ] removing player 2 token from slot 8
[2022-12-11 16:56:30] [SEVERE ] player 2 placing token on slot 4
[2022-12-11 16:56:30] [SEVERE ] player 3 placing token on slot 6
[2022-12-11 16:56:30] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:30] [SEVERE ] removing player 3 token from slot 4
[2022-12-11 16:56:30] [SEVERE ] player 2 placing token on slot 11
[2022-12-11 16:56:30] [SEVERE ] player 3 placing token on slot 9
[2022-12-11 16:56:30] [SEVERE ] removing player 2 token from slot 2
[2022-12-11 16:56:30] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:30] [SEVERE ] player 2 placing token on slot 6
[2022-12-11 16:56:30] [SEVERE ] removing player 3 token from slot 9
[2022-12-11 16:56:30] [SEVERE ] removing player 2 token from slot 11
[2022-12-11 16:56:30] [SEVERE ] removing player 3 token from slot 6
[2022-12-11 16:56:30] [SEVERE ] player 3 placing token on slot 5
[2022-12-11 16:56:30] [SEVERE ] player 2 placing token on slot 3
[2022-12-11 16:56:30] [SEVERE ] removing player 2 token from slot 4
[2022-12-11 16:56:30] [SEVERE ] player 3 placing token on slot 2
[2022-12-11 16:56:31] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:31] [SEVERE ] player 2 placing token on slot 4
[2022-12-11 16:56:31] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:31] [SEVERE ] removing player 2 token from slot 3
[2022-12-11 16:56:31] [SEVERE ] removing player 3 token from slot 2
[2022-12-11 16:56:31] [SEVERE ] player 2 placing token on slot 9
[2022-12-11 16:56:31] [SEVERE ] removing player 2 token from slot 4
[2022-12-11 16:56:31] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:31] [SEVERE ] player 3 placing token on slot 6
[2022-12-11 16:56:31] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:31] [SEVERE ] removing player 3 token from slot 5
[2022-12-11 16:56:31] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:31] [SEVERE ] removing player 2 token from slot 6
[2022-12-11 16:56:31] [SEVERE ] player 3 placing token on slot 11
[2022-12-11 16:56:31] [SEVERE ] removing player 3 token from slot 11
[2022-12-11 16:56:31] [SEVERE ] removing player 2 token from slot 9
[2022-12-11 16:56:31] [SEVERE ] player 2 placing token on slot 9
[2022-12-11 16:56:31] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:32] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:32] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:32] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:32] [SEVERE ] player 2 placing token on slot 1
[2022-12-11 16:56:32] [SEVERE ] player 3 placing token on slot 7
[2022-12-11 16:56:32] [SEVERE ] removing player 2 token from slot 9
[2022-12-11 16:56:32] [SEVERE ] player 3 placing token on slot 11
[2022-12-11 16:56:32] [SEVERE ] player 2 placing token on slot 6
[2022-12-11 16:56:32] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:32] [SEVERE ] removing player 3 token from slot 6
[2022-12-11 16:56:32] [SEVERE ] player 2 placing token on slot 9
[2022-12-11 16:56:32] [SEVERE ] player 3 placing token on slot 9
[2022-12-11 16:56:32] [SEVERE ] removing player 3 token from slot 7
[2022-12-11 16:56:32] [SEVERE ] removing player 2 token from slot 1
[2022-12-11 16:56:32] [SEVERE ] removing player 3 token from slot 9
[2022-12-11 16:56:32] [SEVERE ] player 2 placing token on slot 11
[2022-12-11 16:56:32] [SEVERE ] removing player 2 token from slot 6
[2022-12-11 16:56:32] [SEVERE ] player 3 placing token on slot 7
[2022-12-11 16:56:33] [SEVERE ] player 3 placing token on slot 4
[2022-12-11 16:56:33] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:33] [SEVERE ] removing player 2 token from slot 9
[2022-12-11 16:56:33] [SEVERE ] removing player 3 token from slot 7
[2022-12-11 16:56:33] [SEVERE ] player 2 placing token on slot 5
[2022-12-11 16:56:33] [SEVERE ] player 3 placing token on slot 7
[2022-12-11 16:56:33] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:33] [SEVERE ] removing player 3 token from slot 11
[2022-12-11 16:56:33] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:33] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:33] [SEVERE ] removing player 2 token from slot 11
[2022-12-11 16:56:33] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:33] [SEVERE ] player 2 placing token on slot 11
[2022-12-11 16:56:33] [SEVERE ] removing player 3 token from slot 4
[2022-12-11 16:56:33] [SEVERE ] removing player 2 token from slot 5
[2022-12-11 16:56:33] [SEVERE ] removing player 3 token from slot 7
[2022-12-11 16:56:33] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:33] [SEVERE ] player 3 placing token on slot 0
[2022-12-11 16:56:33] [SEVERE ] removing player 2 token from slot 11
[2022-12-11 16:56:34] [SEVERE ] player 3 placing token on slot 6
[2022-12-11 16:56:34] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:34] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:34] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:34] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:34] [SEVERE ] player 2 placing token on slot 8
[2022-12-11 16:56:34] [SEVERE ] player 3 placing token on slot 8
[2022-12-11 16:56:34] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:34] [SEVERE ] removing player 3 token from slot 6
[2022-12-11 16:56:34] [SEVERE ] player 2 placing token on slot 6
[2022-12-11 16:56:34] [SEVERE ] removing player 3 token from slot 8
[2022-12-11 16:56:34] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:34] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:34] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:34] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:34] [SEVERE ] removing player 2 token from slot 6
[2022-12-11 16:56:34] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:34] [SEVERE ] player 2 placing token on slot 2
[2022-12-11 16:56:34] [SEVERE ] player 3 placing token on slot 2
[2022-12-11 16:56:35] [SEVERE ] removing player 2 token from slot 2
[2022-12-11 16:56:35] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:35] [SEVERE ] player 2 placing token on slot 9
[2022-12-11 16:56:35] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:35] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:35] [SEVERE ] removing player 3 token from slot 2
[2022-12-11 16:56:35] [SEVERE ] player 2 placing token on slot 11
[2022-12-11 16:56:35] [SEVERE ] player 3 placing token on slot 7
[2022-12-11 16:56:35] [SEVERE ] removing player 2 token from slot 8
[2022-12-11 16:56:35] [SEVERE ] removing player 3 token from slot 7
[2022-12-11 16:56:35] [SEVERE ] player 2 placing token on slot 8
[2022-12-11 16:56:35] [SEVERE ] player 3 placing token on slot 9
[2022-12-11 16:56:35] [SEVERE ] removing player 2 token from slot 8
[2022-12-11 16:56:35] [SEVERE ] removing player 3 token from slot 9
[2022-12-11 16:56:35] [SEVERE ] player 2 placing token on slot 2
[2022-12-11 16:56:35] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:35] [SEVERE ] removing player 2 token from slot 11
[2022-12-11 16:56:35] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:36] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:36] [SEVERE ] player 2 placing token on slot 10
[2022-12-11 16:56:36] [SEVERE ] removing player 3 token from slot 3
